21A;2019;Núcleo de Conteúdos obrigatórios;CI1057;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS III;3;20;Obrigatória;ATIVA;60
21A;2019;Núcleo de Conteúdos obrigatórios;CI1062;Curso de Ciência da Computação - Bacharelado;PARADIGMAS DE PROGRAMAÇÃO;4;20;Obrigatória;ATIVA;60
21A;2019;Núcleo de Conteúdos obrigatórios;CI1165;Curso de Ciência da Computação - Bacharelado;ANÁLISE DE ALGORITMOS;4;50;Obrigatória;ATIVA;60
21A;2019;Núcleo de Conteúdos obrigatórios;CI1058;Curso de Ciência da Computação - Bacharelado;REDE DE COMPUTADORES I;5;44;Obrigatória;ATIVA;60
21A;2019;Núcleo de Conteúdos obrigatórios;CI1065;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E TEORIA DOS GRAFOS;5;45;Obrigatória;ATIVA;60
21A;2019;Núcleo de Conteúdos obrigatórios;CI1162;Curso de Ciência da Computação - Bacharelado;ENGENHARIA DE REQUISITOS;5;30;Obrigatória;ATIVA;60
21A;2019;Núcleo de Conteúdos obrigatórios;CI1215;Curso de Ciência da Computação - Bacharelado;SISTEMAS OPERACIONAIS;5;30;Obrigatória;ATIVA;60
